TimeStamp,NbrPulseA,NbrPulseB,NbrPulseC,NbrPulseD,NbrCoincidencePulseAB,NbrCoincidencePulseAC,NbrCoincidencePulseDB,NbrCoincidencePulseDC,NbrCoincidencePulseABC
2025-03-13T10:47:51.712696,57468,65027,82132,42,2380,2241,0,2,75
2025-03-13T10:47:51.806431,57266,65269,82328,37,2382,2330,0,1,95
2025-03-13T10:47:51.914090,56997,64691,82064,51,2254,2284,1,1,71
2025-03-13T10:47:52.005335,57122,65066,82767,50,2316,2328,3,1,73
2025-03-13T10:47:52.114686,57112,65258,82787,44,2344,2374,1,1,87
2025-03-13T10:47:52.208428,57199,64760,82192,45,2323,2339,0,2,75
2025-03-13T10:47:52.302141,56863,65118,82815,33,2330,2366,0,0,89
2025-03-13T10:47:52.411490,57398,64944,165227,48,2347,2335,1,0,75
2025-03-13T10:47:52.505217,57129,65561,82168,46,2347,2211,1,0,75
2025-03-13T10:47:52.615356,57472,65512,82550,46,2425,2275,1,1,105
2025-03-13T10:47:52.712327,57259,65685,82459,47,2344,2309,0,1,64
2025-03-13T10:47:52.820118,57521,64955,82775,49,2341,2342,2,1,76
2025-03-13T10:47:52.916155,56807,65451,82498,39,2301,2301,2,0,73
2025-03-13T10:47:53.009342,57449,65712,82604,39,2348,2298,1,1,75
2025-03-13T10:47:53.111017,57392,65217,82568,31,2308,2260,1,1,74
2025-03-13T10:47:53.207462,57266,65598,82519,34,2335,2241,2,1,82
2025-03-13T10:47:53.308131,57391,65796,82833,45,2384,2308,1,1,84
2025-03-13T10:47:53.407845,57455,65352,82356,36,2293,2307,1,1,71
2025-03-13T10:47:53.510653,57223,65021,82579,36,2297,2307,0,1,73
2025-03-13T10:47:53.606849,57259,65164,82686,49,2395,2285,0,1,79
2025-03-13T10:47:53.707084,57214,65594,82855,38,2335,2342,1,0,86
2025-03-13T10:47:53.813366,57753,65222,82419,56,2411,2273,1,0,76
2025-03-13T10:47:53.902912,57135,65144,82769,47,2357,2341,1,1,68
2025-03-13T10:47:54.012281,57629,65237,82170,41,2350,2340,1,0,87
2025-03-13T10:47:54.105989,57492,65307,82560,44,2335,2259,2,0,85
2025-03-13T10:47:54.206743,57299,65344,81903,44,2378,2325,2,1,73
2025-03-13T10:47:54.303980,56974,65701,82350,38,2330,2222,1,2,74
2025-03-13T10:47:54.413335,57190,64980,83059,41,2302,2397,1,1,79
2025-03-13T10:47:54.505963,57652,65771,82767,52,2322,2322,1,1,68
2025-03-13T10:47:54.599686,57557,65359,82474,37,2331,2286,1,0,79
2025-03-13T10:47:54.709034,57088,65228,82791,39,2361,2259,0,0,82
2025-03-13T10:47:54.818467,57407,65498,82570,39,2364,2317,0,1,73
2025-03-13T10:47:54.917359,57716,65696,82832,46,2366,2253,1,2,87
2025-03-13T10:47:55.003471,57412,65519,82690,28,2333,2341,0,0,73
2025-03-13T10:47:55.096602,57016,65358,82516,43,2239,2281,2,0,70
2025-03-13T10:47:55.205959,57437,65601,82527,43,2312,2308,3,1,71
2025-03-13T10:47:55.315305,57330,65354,83131,41,2344,2351,1,0,78
2025-03-13T10:47:55.409034,57725,65814,82746,51,2328,2264,1,0,61
2025-03-13T10:47:55.518384,57294,65282,82475,43,2281,2282,2,0,72
2025-03-13T10:47:55.612142,57379,65333,83361,48,2299,2404,1,0,95
2025-03-13T10:47:55.703779,57648,65585,82430,39,2460,2229,0,1,76
2025-03-13T10:47:55.803034,57784,65767,82667,48,2392,2252,0,1,60
2025-03-13T10:47:55.913399,57906,65174,82300,37,2436,2280,0,3,92
2025-03-13T10:47:56.007129,57638,65527,83290,56,2498,2316,1,1,76
